label,sub_bass,bass,lower_midrange,mid_range,higher_midrange,presence,brilliance
Frozen,95,31,60,61,1,3,0
Frozen,20,3,40,72,0,55,17
Frozen,79,3,77,93,3,3,9
Frozen,76,3,90,59,6,9,23
Frozen,5,74,22,98,7,95,3
Frozen,75,66,53,3,74,1,5
Frozen,1,60,40,2,59,32,0
Frozen,33,77,1,1,20,8,93
Frozen,42,69,27,0,3,17,4
Frozen,99,99,70,0,8,0,7
Frozen,23,89,2,0,3,31,0
Frozen,72,75,42,1,32,42,3
Frozen,76,76,0,5,42,40,5
Frozen,76,98,66,1,9,8,0
Frozen,0,46,76,2,62,99,28
Frozen,78,79,68,8,74,0,3
Frozen,75,2,30,3,68,20,35
Frozen,99,99,71,25,4,8,64
Frozen,82,97,14,46,19,0,95
Frozen,97,36,3,1,41,9,18
Frozen,2,72,6,2,61,99,28
Frozen,75,93,30,5,28,44,0
Frozen,98,88,8,36,48,0,2
Frozen,27,84,16,59,48,10,37
Frozen,56,68,67,2,6,5,76
Frozen,18,99,10,11,98,26,4
Frozen,26,47,16,89,0,0,1
Frozen,75,0,97,4,78,18,8
Frozen,94,51,26,6,48,0,8
Frozen,99,35,1,95,96,1,6
Frozen,66,28,47,16,31,7,13
Frozen,95,92,35,10,87,5,48
Frozen,9,49,66,13,87,26,5
Frozen,91,18,67,96,0,6,7
Frozen,98,29,56,1,25,40,4
Frozen,77,79,2,8,67,5,99
Frozen,97,15,40,0,7,1,29
Frozen,6,35,36,43,74,89,0
Frozen,80,48,0,6,18,97,1
Frozen,72,78,0,7,93,3,0
Frozen,66,53,66,0,93,9,18
Frozen,40,31,29,22,18,14,6
Frozen,5,76,3,3,13,4,3
Frozen,17,84,47,51,89,12,2
Frozen,87,1,0,73,0,47,15
Frozen,58,79,6,2,47,1,1
Frozen,4,78,4,1,64,0,16
Frozen,0,60,3,8,22,97,28
Frozen,76,46,20,16,0,2,98
Frozen,97,90,9,41,6,2,0
Frozen,76,97,17,28,3,1,64
Frozen,72,77,6,1,8,2,4
Frozen,92,76,82,2,62,27,0
Frozen,75,99,0,0,0,19,6
Frozen,88,31,20,42,13,1,98
Frozen,94,47,67,14,86,30,5
Frozen,70,63,0,8,67,0,2
Frozen,76,59,1,82,0,7,40
Frozen,97,98,0,44,13,3,63
Frozen,0,89,29,43,10,1,0
Frozen,3,38,36,44,80,99,0
Frozen,1,79,4,1,26,5,14
Frozen,36,53,28,0,31,78,4
Frozen,7,47,9,0,19,69,0
Frozen,13,72,87,27,1,43,9
Frozen,0,85,78,0,77,98,1
Frozen,4,74,6,1,84,11,97
Frozen,90,90,4,1,51,88,0
Frozen,63,69,9,14,15,99,0
Frozen,36,5,84,40,0,0,32
Frozen,26,2,64,43,11,50,7
Frozen,74,10,43,89,0,3,3
Frozen,75,63,46,2,59,62,0
Frozen,59,91,36,26,20,8,14
Frozen,96,48,20,17,1,1,98
Frozen,89,89,80,8,46,0,0
Frozen,77,21,40,76,64,12,1
Frozen,49,72,13,65,13,11,0
Frozen,93,85,83,11,35,1,0
Frozen,34,82,3,5,4,13,10
Frozen,12,73,61,0,26,34,0
Frozen,72,30,43,53,27,0,0
Frozen,30,90,26,56,47,0,0
Frozen,86,3,4,52,0,0,14
Frozen,64,91,3,1,42,2,4
Frozen,77,58,32,63,31,5,13
Frozen,75,98,99,0,51,0,53
Frozen,77,95,28,12,63,25,96
Frozen,81,27,0,0,27,25,12
Frozen,74,21,83,57,0,5,35
Frozen,77,43,11,0,0,27,5
Frozen,91,1,38,1,18,9,18
Frozen,66,71,39,0,15,12,0
Frozen,0,37,4,15,35,55,89
Frozen,86,61,25,82,2,59,3
Frozen,77,81,54,0,16,95,99
Frozen,88,99,72,23,71,11,18
Frozen,99,31,9,3,78,7,19
Frozen,81,64,92,1,69,13,23
Frozen,43,99,2,1,1,14,71
Frozen,31,80,61,6,86,14,8
Frozen,99,96,76,25,68,90,1
Frozen,0,76,4,7,59,28,27
Frozen,4,55,37,0,43,8,1
Frozen,53,94,91,56,15,20,32
Frozen,0,34,34,71,71,2,33
Frozen,88,69,20,59,23,10,0
Frozen,77,20,0,0,15,34,78
Frozen,52,44,16,54,51,1,2
Frozen,57,6,2,65,49,41,0
Frozen,1,59,46,3,10,17,1
Frozen,64,63,19,1,90,1,0
Frozen,2,71,0,2,62,99,28
Frozen,89,74,1,7,3,20,13
Frozen,97,43,70,0,1,3,63
Frozen,64,42,1,2,99,0,2
Frozen,31,38,12,90,11,79,0
Frozen,75,90,30,73,2,65,5
Frozen,33,15,80,61,2,17,8
Frozen,19,50,46,7,6,3,32
Frozen,94,76,59,0,25,78,0
Frozen,72,85,3,1,42,48,2
Frozen,44,21,42,0,87,10,10
Frozen,96,41,68,67,4,0,68
Frozen,95,51,26,22,25,57,3
Frozen,95,68,26,21,74,2,9
Frozen,15,86,0,1,1,5,6
Frozen,73,77,1,12,4,34,3
Frozen,78,74,51,5,76,0,0
Frozen,29,99,32,12,20,12,13
Frozen,3,0,17,35,69,19,53
Frozen,75,55,3,0,37,32,5
Frozen,6,78,4,1,54,1,3
Frozen,75,92,88,13,64,24,7
Frozen,88,23,6,1,35,6,0
Frozen,30,58,96,45,0,36,32
Frozen,0,71,30,1,29,0,14
Frozen,94,31,63,6,1,15,2
Frozen,53,50,26,0,3,97,0
Frozen,54,94,4,61,0,24,11
Frozen,1,2,4,21,20,24,88
Frozen,21,86,98,0,0,33,67
Frozen,6,33,22,58,7,4,3
Frozen,75,26,9,90,1,1,11
Frozen,87,52,45,83,3,61,40
Frozen,56,73,40,79,0,61,32
Frozen,99,21,23,21,12,85,0
Frozen,0,79,89,8,27,27,5
Frozen,89,99,21,7,0,6,49
Frozen,66,16,35,11,69,8,7
Frozen,56,99,37,7,40,34,30
Frozen,5,76,7,63,46,83,1
Frozen,90,79,2,1,75,8,0
Frozen,81,82,3,7,86,8,3
Frozen,94,92,84,1,55,0,0
Frozen,94,72,55,5,28,98,0
Frozen,73,84,44,1,90,0,3
Frozen,89,28,41,56,35,2,24
Frozen,78,49,19,1,16,1,10
Frozen,49,97,28,14,2,7,1
Frozen,99,31,52,0,29,16,3
Frozen,90,91,87,1,87,0,1
Frozen,63,71,92,5,1,3,3
Frozen,96,81,70,38,5,25,2
Frozen,80,31,3,68,0,11,24
Frozen,65,91,3,2,31,14,74
Frozen,86,1,51,51,27,4,1
Frozen,22,77,91,32,5,45,10
Frozen,84,77,26,19,7,0,3
Frozen,25,64,14,3,46,1,15
Frozen,75,37,24,74,0,43,42
Frozen,63,86,21,4,4,8,0
Frozen,99,73,72,19,7,15,3
Frozen,75,80,81,13,37,1,9
Frozen,99,98,35,0,1,15,0
Frozen,98,21,53,50,25,45,13
Frozen,93,74,0,0,2,72,0
Frozen,75,77,2,75,50,2,5
Frozen,5,68,48,0,51,80,2
Frozen,66,71,45,8,15,54,6
Frozen,74,81,0,0,67,0,4
Frozen,74,62,9,2,44,2,1
Frozen,3,69,52,0,24,11,1
Frozen,99,77,66,1,51,5,24
Frozen,14,0,21,99,13,25,88
Frozen,14,83,65,72,58,37,97
Frozen,90,99,40,45,73,9,30
Frozen,0,77,65,8,34,37,6
Frozen,85,72,59,0,34,94,0
Frozen,40,52,26,22,1,0,8
Frozen,80,92,3,1,16,50,8
Frozen,97,3,0,71,0,12,14
Frozen,99,80,10,38,38,2,2
Frozen,75,99,24,13,6,37,7
Frozen,35,99,1,14,9,0,14
Frozen,77,79,86,22,46,1,6
Frozen,6,69,16,18,73,4,20
Frozen,99,87,0,21,52,32,4
Frozen,89,49,61,0,3,25,38
Frozen,54,84,71,7,6,14,2
Frozen,2,98,87,8,60,20,0
Frozen,77,97,6,39,91,54,0
Frozen,96,1,37,21,2,4,0
Frozen,98,73,20,30,41,37,16
Frozen,96,40,20,70,27,6,56
Frozen,77,32,43,65,12,22,5
Frozen,33,0,64,1,3,70,34
Frozen,75,84,0,10,0,20,3
Frozen,77,21,70,0,49,0,3
Frozen,2,70,4,1,17,26,1
Frozen,39,99,74,1,26,10,5
Frozen,95,2,20,47,84,2,0
Frozen,75,89,26,1,80,32,6
Frozen,31,99,20,27,65,14,9
Frozen,0,80,70,2,29,10,10
Frozen,96,16,21,15,31,16,12
Frozen,78,42,83,82,34,6,45
Frozen,48,94,0,24,2,12,12
Frozen,75,85,1,3,55,7,19
Frozen,99,5,68,27,61,97,0
Frozen,67,92,59,11,80,0,7
Frozen,94,73,20,22,7,85,0
Frozen,6,85,5,1,3,19,24
Frozen,69,58,70,9,23,64,0
Frozen,96,96,6,6,0,22,65
Frozen,77,20,92,89,5,2,19
Frozen,98,81,0,9,20,22,1
Frozen,99,99,26,4,62,9,22
Frozen,10,99,17,20,9,4,65
Frozen,24,99,20,6,0,9,1
Frozen,99,63,11,14,80,35,15
Frozen,96,8,19,98,5,6,8
Frozen,75,60,0,37,20,3,0
Frozen,38,6,29,64,18,12,17
Frozen,99,31,20,35,43,15,72
Frozen,77,0,40,48,24,45,29
Frozen,10,62,24,2,60,46,2
Frozen,87,97,12,80,0,0,1
Frozen,2,98,0,12,56,0,4
Frozen,75,29,23,60,19,7,23
Frozen,75,20,24,14,0,10,35
Frozen,28,92,91,51,16,5,1
Frozen,51,96,4,1,17,21,0
Frozen,98,91,2,18,3,76,23
Frozen,98,99,28,2,16,1,7
Frozen,40,0,11,61,0,59,90
Frozen,55,99,61,4,0,1,0
Frozen,79,11,57,52,27,36,1
Frozen,0,66,45,3,92,0,46
Frozen,22,32,28,0,92,8,1
Frozen,97,15,13,99,16,31,11
Frozen,95,99,85,3,4,84,0
Frozen,75,49,0,2,34,63,4
Frozen,3,75,27,7,61,4,87
Frozen,54,94,1,65,48,22,6
Frozen,98,81,63,29,0,10,3
Frozen,48,59,98,1,4,2,95
Frozen,65,5,87,2,7,2,5
Frozen,78,76,20,70,2,6,40
Frozen,75,50,22,9,6,4,24
Frozen,99,28,46,4,41,40,4
Frozen,84,84,61,25,9,0,4
Frozen,73,93,22,8,78,35,21
Frozen,88,0,0,73,19,27,20
Frozen,75,99,23,5,71,31,8
Frozen,98,97,17,0,37,7,69
Frozen,71,80,18,11,71,27,97
Frozen,93,77,12,0,44,1,3
Frozen,77,73,7,6,8,7,14
Frozen,74,77,94,0,63,91,81
Frozen,57,98,65,0,6,24,5
Frozen,15,31,26,75,1,12,97
Frozen,4,15,91,19,0,7,16
Frozen,60,76,0,1,33,14,61
Frozen,97,98,25,2,1,10,3
Frozen,75,82,3,15,97,10,0
Frozen,19,7,6,41,17,28,5
Frozen,99,63,11,16,78,34,23
Frozen,66,99,68,29,70,11,18
Frozen,80,96,0,3,45,2,12
Frozen,61,74,50,49,0,54,3
Frozen,0,71,6,0,42,6,1
Frozen,12,77,69,7,31,5,5
Frozen,50,2,25,83,0,74,0
Frozen,56,61,94,61,37,39,3
Frozen,69,92,12,4,93,3,9
Frozen,1,99,9,16,69,35,14
Frozen,54,39,61,87,3,1,24
Frozen,78,45,13,12,58,91,13
Frozen,29,44,47,89,0,2,5
Frozen,75,72,0,0,13,2,0
Frozen,91,19,0,35,2,9,1
Frozen,73,1,16,89,0,48,0
Frozen,27,80,1,6,90,0,3
Frozen,77,83,48,50,88,0,1
Frozen,39,28,70,1,6,13,5
Frozen,76,51,21,1,18,2,12
Frozen,76,78,0,0,9,0,0
Frozen,75,96,11,2,23,1,2
Frozen,56,76,91,0,5,5,5
Frozen,86,26,6,37,13,10,1
Frozen,75,21,68,60,33,11,5
Frozen,74,5,38,12,0,13,8
Frozen,74,79,23,0,32,13,82
Frozen,52,35,74,14,95,0,8
Frozen,12,57,37,23,6,13,9
Frozen,76,43,26,49,23,40,79
Frozen,96,42,99,0,1,28,63
Frozen,12,21,88,6,66,8,10
Frozen,2,57,41,37,46,1,87
Frozen,58,81,4,1,51,6,2
Frozen,42,91,3,3,85,10,1
Frozen,77,17,48,54,9,39,4
Frozen,93,1,71,2,7,8,0
Frozen,4,75,62,6,22,7,87
Frozen,12,78,66,1,92,1,7
Frozen,9,76,84,1,45,57,5
Frozen,96,52,92,62,44,43,0
Frozen,78,21,52,53,13,40,9
Frozen,38,80,67,1,67,30,1
Frozen,20,94,91,61,18,86,32
Frozen,75,68,62,3,68,8,5
Frozen,70,82,2,0,2,18,2
Frozen,75,29,37,55,68,38,5
Frozen,20,79,7,2,45,80,16
Frozen,64,0,4,75,3,17,32
Frozen,88,25,7,56,0,0,3
Frozen,58,1,9,74,63,56,30
Frozen,92,98,11,1,5,9,28
Frozen,94,20,34,80,63,8,7
Frozen,18,59,95,62,0,41,42
Frozen,73,40,30,22,18,18,9
Frozen,8,79,3,1,20,9,18
Frozen,95,63,44,0,27,42,70
Frozen,70,2,64,77,0,1,4
Frozen,76,21,62,1,27,7,11
Frozen,67,48,19,9,22,11,17
Frozen,95,76,84,0,53,51,25
Frozen,98,37,68,1,13,99,1
Frozen,75,64,88,29,4,4,7
Frozen,81,64,80,95,7,14,84
Frozen,40,95,13,4,11,10,3
Frozen,79,6,33,60,37,6,23
Frozen,50,24,53,94,23,0,73
Frozen,61,63,20,1,48,1,8
Frozen,92,90,29,8,11,0,2
Frozen,77,93,10,7,5,0,13
Frozen,95,79,13,12,94,1,3
Frozen,74,67,51,0,4,0,3
Frozen,8,1,18,85,0,30,7
Frozen,71,21,84,12,30,99,0
Frozen,44,62,23,8,6,53,85
Frozen,53,33,30,0,70,98,4
Frozen,99,3,59,86,0,1,5
Frozen,64,50,2,2,96,9,2
Frozen,45,23,93,1,19,41,8
Frozen,76,97,6,8,9,0,94
Frozen,99,79,66,2,4,0,2
Frozen,20,44,62,77,5,7,83
Frozen,51,77,65,8,82,8,43
Frozen,48,21,34,25,0,40,9
Frozen,93,84,67,8,34,0,3
Frozen,71,98,37,0,3,30,3
Frozen,77,75,61,0,69,0,12
Frozen,75,97,0,0,3,9,1
Frozen,0,92,39,0,38,3,2
Frozen,98,98,7,30,42,37,16
Frozen,19,98,3,1,99,0,3
Frozen,90,1,74,52,0,0,23
Frozen,87,70,28,9,37,61,5
Frozen,38,99,46,6,0,30,0
Frozen,80,84,0,11,55,3,14
Frozen,14,21,62,81,0,80,22
Frozen,39,0,1,42,0,0,0
Frozen,99,55,24,31,38,1,3
Frozen,55,99,11,21,0,4,20
Frozen,78,24,25,49,19,24,72
Frozen,47,64,98,46,16,4,4
Frozen,81,99,21,16,21,5,13
Frozen,75,94,1,8,55,3,14
Frozen,75,70,31,0,25,37,0
Frozen,27,21,33,95,13,92,7
Frozen,75,77,3,1,4,0,84
Frozen,95,24,57,52,26,49,2
Frozen,77,21,67,1,86,2,28
Frozen,13,4,68,24,6,11,79
Frozen,98,97,15,1,18,12,27
Frozen,74,92,64,2,85,0,3
Frozen,68,5,64,28,3,77,9
Frozen,77,62,76,10,11,99,1
Frozen,69,73,21,7,54,94,0
Frozen,11,74,32,0,4,82,6
Frozen,2,59,45,0,55,95,1
Frozen,57,79,80,2,3,0,72
Frozen,19,94,3,3,41,20,2
Frozen,32,55,79,0,75,25,6
Frozen,44,81,27,12,74,27,99
Frozen,89,65,19,3,48,3,3
Frozen,5,81,4,0,7,9,0
Frozen,64,5,0,42,13,36,7
Frozen,2,21,62,60,0,75,3
Frozen,61,78,1,9,26,37,0
Frozen,1,76,5,7,31,91,6
Frozen,93,98,35,12,0,28,1
Frozen,96,78,80,3,55,74,0
Frozen,77,21,71,1,57,2,3
Frozen,20,70,52,8,45,2,3
Frozen,6,80,7,0,51,41,2
Frozen,79,78,67,0,43,13,81
Frozen,66,37,5,64,16,18,5
Frozen,35,3,58,46,26,1,2
Frozen,78,99,63,1,2,13,17
Frozen,99,51,55,53,28,15,95
Frozen,98,78,3,5,0,32,9
Frozen,77,77,5,8,45,1,2
Frozen,27,99,58,28,14,8,2
Frozen,79,9,43,87,3,1,3
Frozen,25,70,32,1,53,0,6
Frozen,50,77,3,49,5,1,5
Frozen,84,72,4,2,16,7,7
Frozen,1,66,0,0,62,93,28
Frozen,90,93,54,0,2,0,95
Frozen,95,77,0,8,13,0,10
Frozen,4,96,10,1,1,18,71
Frozen,95,96,29,9,0,34,5
Frozen,21,99,10,7,83,2,1
Frozen,75,91,10,0,26,1,0
Frozen,94,90,1,0,41,29,2
Frozen,95,63,45,78,1,50,5
Frozen,48,72,67,0,22,28,9
Frozen,77,59,42,63,0,1,6
Frozen,63,37,21,0,36,20,10
Frozen,50,91,59,2,0,23,9
Frozen,31,66,31,10,0,29,36
Frozen,58,81,7,2,47,99,2
Frozen,84,90,85,1,4,3,6
Frozen,96,62,42,72,8,10,82
Frozen,70,94,43,23,1,18,19
Frozen,75,95,13,4,3,29,8
Frozen,48,81,0,21,51,6,4
Frozen,0,71,19,6,17,8,1
Frozen,95,47,3,22,5,69,7
Frozen,12,73,60,1,35,62,2
Frozen,98,91,67,0,4,0,2
Frozen,64,32,3,1,15,0,9
Frozen,3,60,40,1,36,8,1
Frozen,60,92,8,23,0,0,24
Frozen,98,88,1,12,45,40,3
Frozen,3,39,18,75,4,49,22
Frozen,89,70,35,0,15,14,5
Frozen,2,78,43,33,9,70,3
Frozen,81,76,2,0,23,11,83
Frozen,75,59,69,3,21,0,10
Frozen,96,0,69,24,6,76,11
Frozen,12,55,42,0,91,14,10
Frozen,77,81,0,17,53,23,3
Frozen,99,73,0,75,0,57,8
Frozen,54,37,29,2,7,2,4
Frozen,77,78,6,23,64,3,6
Frozen,34,76,64,1,2,0,72
Frozen,1,84,3,10,60,81,69
Frozen,17,46,46,3,9,3,32
Frozen,90,76,64,0,51,5,3
Frozen,56,76,80,0,92,1,73
Frozen,67,74,0,3,26,7,0
Frozen,14,78,41,1,26,30,2
Frozen,96,81,38,51,10,13,1
Frozen,9,66,4,7,25,52,0
Frozen,42,21,39,60,44,11,1
Frozen,6,66,24,10,87,2,9
Frozen,75,72,19,26,1,3,12
Frozen,86,37,64,66,50,43,0
Frozen,7,33,7,60,8,2,3
Frozen,90,62,41,2,44,18,3
Frozen,92,70,30,8,8,18,3
Frozen,67,4,39,73,63,29,82
Frozen,75,77,0,7,25,4,8
Frozen,85,65,8,15,14,97,0
Frozen,75,59,3,1,4,16,5
Frozen,1,0,40,1,5,19,76
Frozen,77,21,94,0,75,4,6
Frozen,6,69,32,0,72,80,13
Frozen,16,61,50,21,38,43,76
Frozen,99,99,0,22,88,0,91
Frozen,63,98,35,0,12,3,2
Frozen,30,96,9,7,2,5,1
Frozen,35,94,14,62,23,54,9
Frozen,74,63,1,8,43,1,5
Frozen,6,93,1,10,59,6,6
Frozen,77,62,41,3,10,99,92
Frozen,44,7,29,48,22,12,15
Frozen,98,99,49,27,21,11,5
Frozen,93,54,24,22,13,10,10
Frozen,40,52,84,1,3,2,7
Frozen,75,21,97,29,0,17,0
Frozen,64,58,7,0,44,24,5
Frozen,3,94,0,2,17,4,71
Frozen,43,59,66,0,14,60,0
Frozen,75,99,7,7,23,42,3
Frozen,59,21,33,31,0,13,37
Frozen,33,0,64,22,86,10,32
Frozen,75,71,33,44,9,14,4
Frozen,38,73,1,37,17,71,3
Frozen,74,31,20,96,13,23,0
Frozen,22,25,70,1,5,13,14
Frozen,90,58,59,30,28,8,0
Frozen,78,4,1,47,6,0,2
Frozen,63,90,0,8,27,3,0
Frozen,42,94,28,2,27,7,33
Frozen,81,73,66,24,71,16,74
Frozen,75,98,19,15,4,31,22
Frozen,75,72,13,3,46,36,1
Frozen,8,77,5,7,10,0,2
Frozen,51,98,64,1,21,10,14
Frozen,0,76,64,2,43,97,15
Frozen,0,99,44,14,98,0,32
Frozen,99,47,17,86,2,19,5
Frozen,70,28,54,17,33,12,11
Frozen,95,91,3,19,69,45,3
Frozen,7,90,3,6,32,2,17
Frozen,0,61,42,1,40,11,2
Frozen,94,12,27,79,5,94,2
Frozen,75,20,24,3,73,14,35
Frozen,75,73,25,8,9,38,6
Frozen,75,98,0,0,47,5,3
Frozen,8,2,4,34,57,61,87
Frozen,73,29,35,57,8,40,3
Frozen,0,2,67,96,2,12,17
Frozen,11,1,45,66,52,5,7
Frozen,96,31,63,2,2,5,8
Frozen,96,0,48,59,0,24,0
Frozen,81,72,9,0,0,0,1
Frozen,62,44,36,57,94,1,10
Frozen,91,94,20,94,51,15,0
Frozen,12,73,44,75,63,23,0
Frozen,12,98,22,23,62,17,87
Frozen,87,98,35,13,4,38,0
Frozen,27,98,25,47,19,11,11
Frozen,97,53,86,60,0,0,4
Frozen,3,79,9,1,90,3,71
Frozen,9,96,25,9,2,9,69
Frozen,90,74,9,12,13,98,0
Frozen,98,46,93,4,14,40,4
Frozen,77,64,45,2,11,98,1
Frozen,32,99,65,1,87,26,4
Frozen,8,2,5,23,20,1,88
Frozen,86,29,24,99,7,2,3
Frozen,39,99,27,6,92,1,7
Frozen,43,21,84,1,16,7,15
Frozen,75,63,45,79,24,43,1
Frozen,74,61,4,1,36,27,6
Frozen,75,49,0,6,59,0,7
Frozen,92,42,12,28,14,17,0
Frozen,26,96,16,56,54,12,1
Frozen,96,44,61,2,4,5,0
Frozen,58,0,3,59,1,49,91
Frozen,25,99,66,23,90,28,0
Frozen,47,15,67,1,4,9,26
Frozen,99,98,83,57,20,4,35
Frozen,98,81,55,5,47,37,3
Frozen,98,61,83,57,33,1,2
Frozen,48,95,79,1,6,0,75
Frozen,68,14,2,74,1,7,30
Frozen,40,5,67,1,12,28,1
Frozen,3,41,3,0,3,3,26
Frozen,90,10,10,89,1,8,5
Frozen,54,91,0,8,63,27,5
Frozen,99,97,86,22,83,7,0
Frozen,78,92,4,1,17,53,7
Frozen,31,71,21,98,7,96,3
Frozen,1,78,67,0,12,13,82
Frozen,99,95,90,59,20,10,65
Frozen,60,96,51,1,88,4,26
